match_id,team,total_shots,goals,shots_on_target
3825842,Levante UD,10,1,9
3825843,Málaga,12,1,10
3825843,Rayo Vallecano,11,1,9
3825844,Athletic Club,19,3,17
3825844,Real Betis,3,1,2
3825845,Espanyol,12,1,8
3825845,Sevilla,7,0,7
3825846,RC Deportivo La Coruña,10,0,10
3825846,Real Madrid,16,2,13
3825847,Eibar,9,1,6
3825847,RC Deportivo La Coruña,9,1,9
3825848,Eibar,10,2,9
3825848,Levante UD,12,2,9
3825849,Real Sociedad,15,1,13
3825849,Valencia,8,0,7
3825850,Celta Vigo,12,1,11
3825850,Málaga,13,0,13
3825851,RC Deportivo La Coruña,8,2,7
3825851,Villarreal,11,0,8
3825852,Las Palmas,10,1,10
3825852,Sporting Gijón,12,1,11
3825853,Granada,11,4,11
3825853,Sevilla,12,1,11
3825854,Eibar,12,0,11
3825854,Sporting Gijón,3,2,3
3825855,Levante UD,11,1,11
3825855,Málaga,24,3,20
3825856,Eibar,9,0,7
3825856,Real Madrid,15,4,13
3825857,Espanyol,10,1,10
3825857,Levante UD,12,2,11
3825858,Eibar,7,1,6
3825858,Rayo Vallecano,12,1,12
3825859,Granada,14,3,13
3825859,Las Palmas,11,2,9
3825860,Atlético Madrid,17,1,15
3825860,Levante UD,11,2,11
3825861,Rayo Vallecano,17,1,16
3825861,Real Sociedad,12,2,11
3825862,Celta Vigo,3,1,3
3825862,Espanyol,9,1,9
3825863,Las Palmas,13,3,12
3825863,RC Deportivo La Coruña,19,1,18
3825864,Real Madrid,18,1,17
3825864,Real Sociedad,11,0,11
3825865,Getafe,19,1,17
3825865,Sporting Gijón,9,1,9
3825866,Athletic Club,9,0,8
3825866,Las Palmas,4,0,3
3825867,Getafe,14,1,14
3825867,Sevilla,7,1,7
3825868,Celta Vigo,16,2,15
3825868,Granada,12,1,10
3825869,Athletic Club,14,3,13
3825869,Sevilla,8,1,8
3825870,Athletic Club,11,2,9
3825870,Celta Vigo,5,1,4
3825871,Espanyol,12,0,11
3825871,Las Palmas,15,4,14
3825872,Atlético Madrid,17,5,15
3825872,Real Betis,8,1,7
